index,name
1,Background
2,Left Cerebral White Matter
3,Left Cerebral Cortex
4,Left Lateral Ventricle
5,Left Thalamus
6,Left Caudate
7,Left Putamen
8,Left Pallidum
9,Brain-Stem
10,Left Hippocampus
11,Left Amygdala
12,Left Accumbens
13,Right Cerebral White Matter
14,Right Cerebral Cortex
15,Right Lateral Ventricle
16,Right Thalamus
17,Right Caudate
18,Right Putamen
19,Right Pallidum
20,Right Hippocampus
21,Right Amygdala
22,Right Accumbens
